挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
2022-05-31,商品房,2016-01-08,普通住宅,满五年,非共有,"
                                有抵押 170万元 客户偿还
                              ",已上传房本照片
2023-03-08,商品房,2005-03-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-03-25,商品房,2018-07-23,普通住宅,暂无数据,共有,"
                                有抵押 100万元 金融公司垫资
                              ",已上传房本照片
2020-04-02,商品房,2015-07-10,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行股份有限公司深圳深南支行 金融公司垫资
                              ",已上传房本照片
2021-10-30,商品房,2018-06-22,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2022-06-20,商品房,2010-08-23,普通住宅,满五年,非共有,"
                                有抵押 60万元 交通银行深圳香洲支行 客户偿还
                              ",已上传房本照片
2021-06-15,商品房,2016-10-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-11-30,商品房,2016-03-22,普通住宅,满五年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-05-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2020-10-07,商品房,2015-11-03,普通住宅,满五年,非共有,"
                                有抵押 84.7万元 中国银行
                              ",已上传房本照片
2023-03-06,商品房,2019-05-27,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-11-22,商品房,2000-05-10,普通住宅,满五年,非共有,"
                                有抵押 220万元 银行 金融公司垫资
                              ",已上传房本照片
2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2021-05-14,商品房,2017-07-11,普通住宅,满五年,共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
2022-11-22,商品房,2000-05-10,普通住宅,满五年,非共有,"
                                有抵押 220万元 银行 金融公司垫资
                              ",已上传房本照片
2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-08-26,商品房,2018-10-22,普通住宅,暂无数据,非共有,"
                                有抵押 自己赎楼
                              ",已上传房本照片
2021-04-12,商品房,2017-08-21,普通住宅,满五年,非共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-13,商品房,2010-10-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-11-01,商品房,2019-04-12,普通住宅,暂无数据,共有,"
                                有抵押 220万元 工行和华夏 客户偿还
                              ",已上传房本照片
2022-04-09,商品房,2019-08-22,公寓,暂无数据,非共有,"
                                有抵押 74万元 建设银行 金融公司垫资
                              ",已上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-10-04,商品房,2011-04-25,普通住宅,满五年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
2022-04-18,商品房,2013-03-28,普通住宅,满五年,非共有,"
                                有抵押 平安银行 业主自还
                              ",已上传房本照片
2022-06-20,商品房,2010-08-23,普通住宅,满五年,非共有,"
                                有抵押 60万元 交通银行深圳香洲支行 客户偿还
                              ",已上传房本照片
2021-10-20,商品房,2015-01-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-14,商品房,2018-02-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-22,商品房,2011-06-27,公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-10-30,商品房,2018-06-22,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-08,商品房,2005-03-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-03-06,商品房,2019-05-27,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-25,商品房,2018-07-23,普通住宅,暂无数据,共有,"
                                有抵押 100万元 金融公司垫资
                              ",已上传房本照片
2021-06-15,商品房,2016-10-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-31,商品房,2012-09-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-01-17,商品房,2015-12-01,普通住宅,满五年,非共有,"
                                有抵押 90万元 建行 客户偿还
                              ",已上传房本照片
2022-05-09,商品房,2019-04-18,普通住宅,暂无数据,非共有,"
                                有抵押 155万元 中国银行 金融公司垫资
                              ",已上传房本照片
2020-07-12,商品房,2017-09-06,普通住宅,满五年,非共有,"
                                有抵押 180万元
                              ",已上传房本照片
2020-10-07,商品房,2015-11-03,普通住宅,满五年,非共有,"
                                有抵押 84.7万元 中国银行
                              ",已上传房本照片
2020-04-02,商品房,2015-07-10,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行股份有限公司深圳深南支行 金融公司垫资
                              ",已上传房本照片
2020-10-12,商品房,2016-10-28,普通住宅,满五年,非共有,"
                                有抵押 120万元 建设银行 金融公司垫资
                              ",已上传房本照片
2022-11-30,商品房,2016-03-22,普通住宅,满五年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
2023-03-31,商品房,2019-11-12,普通住宅,暂无数据,非共有,"
                                有抵押 210万元 中国银行罗湖支行 金融公司垫资
                              ",已上传房本照片
2021-05-12,商品房,2018-07-26,普通住宅,暂无数据,非共有,"
                                有抵押 149万元 客户偿还
                              ",已上传房本照片
2021-06-15,商品房,2016-10-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-10-30,商品房,2018-06-22,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2020-10-07,商品房,2015-11-03,普通住宅,满五年,非共有,"
                                有抵押 84.7万元 中国银行
                              ",已上传房本照片
2020-10-12,商品房,2016-10-28,普通住宅,满五年,非共有,"
                                有抵押 120万元 建设银行 金融公司垫资
                              ",已上传房本照片
2022-11-30,商品房,2016-03-22,普通住宅,满五年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
2023-03-08,商品房,2005-03-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-05-07,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 13万元
                              ",未上传房本照片
2022-08-21,商品房,2017-06-02,普通住宅,满五年,非共有,"
                                有抵押 130万元
                              ",已上传房本照片
2020-01-03,商品房,2016-03-25,普通住宅,满五年,共有,"
                                有抵押 100万元 中国建设银行深圳支行 客户偿还
                              ",已上传房本照片
2023-03-01,商品房,2013-04-10,普通住宅,满五年,共有,"
                                有抵押 80万元 中行按揭欠80万左右 金融公司垫资
                              ",已上传房本照片
2023-03-24,商品房,2011-11-14,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行 业主自还
                              ",已上传房本照片
2021-08-10,商品房,2006-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-08-03,商品房,2016-07-15,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
2021-05-19,商品房,2016-10-08,普通住宅,满五年,非共有,"
                                有抵押 120万元 工商银行 客户偿还
                              ",已上传房本照片
2021-06-20,商品房,2019-01-28,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
2021-07-04,商品房,2009-11-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-25,商品房,2018-07-23,普通住宅,暂无数据,共有,"
                                有抵押 100万元 金融公司垫资
                              ",已上传房本照片
2022-12-14,商品房,2017-09-04,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
2021-07-03,商品房,2005-05-22,普通住宅,满五年,共有,"
                                有抵押 80万元 建设银行 客户偿还
                              ",已上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2021-07-31,商品房,2016-10-24,普通住宅,满五年,非共有,"
                                有抵押 180万元 金融公司垫资
                              ",已上传房本照片
2022-11-26,商品房,2017-03-13,普通住宅,满五年,非共有,"
                                有抵押 100万元 建行 客户偿还
                              ",已上传房本照片
2023-02-08,商品房,2018-03-23,普通住宅,满五年,非共有,"
                                有抵押 110万元 中国建设银行 客户偿还
                              ",已上传房本照片
2023-03-21,商品房,2020-05-11,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
2022-05-29,商品房,2009-12-21,普通住宅,满五年,非共有,"
                                有抵押 欠款约50万
                              ",已上传房本照片
2022-06-07,商品房,2019-04-19,普通住宅,暂无数据,非共有,"
                                有抵押 125万元 中国银行 客户偿还
                              ",已上传房本照片
2023-03-24,商品房,2018-04-13,普通住宅,满五年,非共有,"
                                有抵押 160万元 金融公司垫资
                              ",已上传房本照片
2023-03-09,商品房,2015-08-14,普通住宅,满五年,共有,"
                                有抵押 96万元 中行 客户偿还
                              ",已上传房本照片
2021-08-03,商品房,2016-03-15,普通住宅,满五年,非共有,"
                                有抵押 200万元 客户偿还
                              ",已上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-05-12,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 82万元 中国银行 客户偿还
                              ",未上传房本照片
2022-11-26,商品房,2017-03-13,普通住宅,满五年,非共有,"
                                有抵押 100万元 建行 客户偿还
                              ",已上传房本照片
2021-07-31,商品房,2016-10-24,普通住宅,满五年,非共有,"
                                有抵押 180万元 金融公司垫资
                              ",已上传房本照片
2021-11-01,商品房,2015-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2020-07-12,商品房,2017-09-06,普通住宅,满五年,非共有,"
                                有抵押 180万元
                              ",已上传房本照片
2023-05-07,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 13万元
                              ",未上传房本照片
2022-08-21,商品房,2017-06-02,普通住宅,满五年,非共有,"
                                有抵押 130万元
                              ",已上传房本照片
2023-03-22,商品房,2016-09-20,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2023-03-31,商品房,2019-11-12,普通住宅,暂无数据,非共有,"
                                有抵押 210万元 中国银行罗湖支行 金融公司垫资
                              ",已上传房本照片
2021-05-12,商品房,2018-07-26,普通住宅,暂无数据,非共有,"
                                有抵押 149万元 客户偿还
                              ",已上传房本照片
2021-07-04,商品房,2011-04-27,普通住宅,满五年,非共有,"
                                有抵押 150万元 客户偿还
                              ",已上传房本照片
2023-05-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2021-06-20,商品房,2019-01-28,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
2023-03-09,商品房,2015-08-14,普通住宅,满五年,共有,"
                                有抵押 96万元 中行 客户偿还
                              ",已上传房本照片
2022-12-06,商品房,2017-10-23,普通住宅,满五年,非共有,"
                                有抵押 330万元 客户偿还
                              ",已上传房本照片
2022-05-29,商品房,2009-12-21,普通住宅,满五年,非共有,"
                                有抵押 欠款约50万
                              ",已上传房本照片
2022-06-07,商品房,2019-10-14,普通住宅,暂无数据,非共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片
2022-05-01,商品房,2018-06-27,普通住宅,暂无数据,非共有,"
                                有抵押 60万元 建设银行 客户偿还
                              ",已上传房本照片
2021-08-15,商品房,2015-12-22,普通住宅,满五年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
2021-07-16,商品房,2005-04-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-11-06,商品房,2019-01-19,普通住宅,暂无数据,非共有,"
                                有抵押 235万元 中国银行 客户偿还
                              ",已上传房本照片
2022-06-03,商品房,2014-11-11,普通住宅,满五年,非共有,"
                                有抵押 200万元
                              ",已上传房本照片
2023-03-24,商品房,2018-04-13,普通住宅,满五年,非共有,"
                                有抵押 160万元 金融公司垫资
                              ",已上传房本照片
2022-06-07,商品房,2019-04-19,普通住宅,暂无数据,非共有,"
                                有抵押 125万元 中国银行 客户偿还
                              ",已上传房本照片
2023-02-08,商品房,2018-03-23,普通住宅,满五年,非共有,"
                                有抵押 110万元 中国建设银行 客户偿还
                              ",已上传房本照片
2023-03-21,商品房,2020-05-11,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
2021-08-20,商品房,2005-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-11,商品房,2017-02-13,普通住宅,满五年,非共有,"
                                有抵押 200万元 招商银行 客户偿还
                              ",已上传房本照片
2020-01-03,商品房,2016-03-25,普通住宅,满五年,共有,"
                                有抵押 100万元 中国建设银行深圳支行 客户偿还
                              ",已上传房本照片
2023-03-01,商品房,2013-04-10,普通住宅,满五年,共有,"
                                有抵押 80万元 中行按揭欠80万左右 金融公司垫资
                              ",已上传房本照片
2021-08-10,商品房,2006-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-24,商品房,2011-11-14,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行 业主自还
                              ",已上传房本照片
2021-05-09,商品房,2014-10-11,普通住宅,满五年,非共有,"
                                有抵押 70万元 业主自还
                              ",已上传房本照片
2020-09-08,商品房,2015-09-08,普通住宅,满五年,非共有,"
                                有抵押 200万元
                              ",已上传房本照片
2022-05-09,商品房,2004-09-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-12-06,商品房,2014-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-01-29,商品房,2017-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-05-05,商品房,2010-04-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-04-13,商品房,2009-04-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-08-19,商品房,2016-12-14,普通住宅,满五年,非共有,"
                                有抵押 130万元 中国银行 客户偿还
                              ",已上传房本照片
2022-09-25,商品房,2016-03-09,普通住宅,满五年,非共有,"
                                有抵押 130万元
                              ",已上传房本照片
2023-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 80万元 金融公司垫资
                              ",未上传房本照片
2019-02-26,商品房,2018-04-01,普通住宅,满五年,非共有,"
                                有抵押 160万元 工商银行 客户偿还
                              ",已上传房本照片
2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 120万元 客户偿还
                              ",未上传房本照片
2021-01-31,商品房,2019-10-25,普通住宅,暂无数据,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
2023-03-14,商品房,2007-04-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-29,商品房,2020-02-17,普通住宅,暂无数据,非共有,"
                                有抵押 150万元
                              ",已上传房本照片
2022-10-26,商品房,2015-03-12,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片
2023-02-03,商品房,2015-08-17,普通住宅,满五年,非共有,"
                                有抵押 110万元 业主自还
                              ",已上传房本照片
2023-02-10,商品房,2003-02-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-16,商品房,2015-05-26,普通住宅,满五年,非共有,"
                                有抵押 250万元 / 客户偿还
                              ",已上传房本照片
2023-02-15,商品房,2020-01-15,普通住宅,暂无数据,非共有,"
                                有抵押 建行 客户偿还
                              ",已上传房本照片
2020-06-02,商品房,2010-01-07,商务公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-02-19,商品房,2019-02-21,普通住宅,暂无数据,共有,"
                                有抵押 160万元 招商银行 金融公司垫资
                              ",已上传房本照片
2022-05-20,商品房,2003-11-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2022-01-13,商品房,2016-06-24,普通住宅,满五年,非共有,"
                                有抵押 250万元 客户偿还
                              ",已上传房本照片
2021-05-16,商品房,2013-11-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 建行 客户偿还
                              ",未上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-05-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-03-08,商品房,2000-12-28,普通住宅,满五年,非共有,"
                                有抵押 140万元 民生银行 客户偿还
                              ",已上传房本照片
2022-01-11,商品房,2016-03-08,普通住宅,满五年,共有,"
                                有抵押 125万元 客户偿还
                              ",已上传房本照片
2022-05-01,商品房,2017-08-15,普通住宅,满五年,非共有,"
                                有抵押 140万元 工商 客户偿还
                              ",已上传房本照片
2022-07-04,商品房,2019-09-27,普通住宅,暂无数据,非共有,"
                                有抵押 180万元 客户偿还
                              ",已上传房本照片
2022-08-21,商品房,2018-01-18,公寓,满五年,非共有,"
                                有抵押 120万元 交通银行 金融公司垫资
                              ",已上传房本照片
2022-09-18,商品房,2005-11-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-10-10,商品房,2018-06-29,普通住宅,暂无数据,非共有,"
                                有抵押 231万元 消费贷 客户偿还
                              ",已上传房本照片
2021-10-30,商品房,2017-12-15,普通住宅,满五年,非共有,"
                                有抵押 117万元 中国银行
                              ",已上传房本照片
2022-06-28,商品房,2014-06-24,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2022-07-15,商品房,2009-08-19,公寓,满五年,非共有,"
                                有抵押 165万元 建设银行 客户偿还
                              ",已上传房本照片
2021-04-07,商品房,2014-04-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-07-10,商品房,2012-04-28,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
2022-09-11,商品房,2015-07-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-08-15,商品房,2015-09-24,普通住宅,满五年,非共有,"
                                有抵押 120万元
                              ",已上传房本照片
2020-04-09,商品房,2016-08-24,普通住宅,满五年,共有,"
                                有抵押 100万元 中国银行 客户偿还
                              ",已上传房本照片
2021-08-12,商品房,2017-12-11,普通住宅,满五年,非共有,"
                                有抵押 130万元 招商 客户偿还
                              ",已上传房本照片
2021-06-15,商品房,2016-11-01,普通住宅,满五年,非共有,"
                                有抵押 270万元 中国银行
                              ",已上传房本照片
2021-04-27,商品房,2009-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-12,商品房,2019-08-05,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
2023-04-13,商品房,2017-05-09,普通住宅,满五年,非共有,"
                                有抵押 155万元 银行 金融公司垫资
                              ",已上传房本照片
2021-08-02,商品房,2017-08-18,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
2021-10-24,商品房,2014-04-08,商务公寓,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2022-11-30,商品房,2016-03-09,普通住宅,满五年,非共有,"
                                有抵押 150万元 建行银行 客户偿还
                              ",已上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2021-05-11,商品房,2007-04-06,普通住宅,满五年,非共有,"
                                有抵押 300万元 中国民生银行股份有限公司深圳分行 客户偿还
                              ",已上传房本照片
2021-08-22,商品房,2015-06-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-08-12,商品房,2007-10-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-08-02,商品房,2017-08-18,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
2023-05-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元
                              ",未上传房本照片
2021-10-24,商品房,2014-04-08,商务公寓,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-07-02,商品房,2015-12-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-07-06,商品房,2017-05-24,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
2022-04-13,商品房,2009-04-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-08-19,商品房,2016-12-14,普通住宅,满五年,非共有,"
                                有抵押 130万元 中国银行 客户偿还
                              ",已上传房本照片
2022-09-25,商品房,2016-03-09,普通住宅,满五年,非共有,"
                                有抵押 130万元
                              ",已上传房本照片
2022-07-10,商品房,2012-04-28,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
2021-08-24,商品房,2009-11-10,普通住宅,满五年,非共有,"
                                有抵押 32万元 发展银行 客户偿还
                              ",已上传房本照片
2022-05-30,商品房,2015-04-09,普通住宅,满五年,非共有,"
                                有抵押 70
                              ",已上传房本照片
2023-02-10,商品房,2003-02-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-29,商品房,2020-02-17,普通住宅,暂无数据,非共有,"
                                有抵押 150万元
                              ",已上传房本照片
2022-11-30,商品房,2016-03-09,普通住宅,满五年,非共有,"
                                有抵押 150万元 建行银行 客户偿还
                              ",已上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 建行 客户偿还
                              ",未上传房本照片
2023-05-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2021-01-31,商品房,2019-10-25,普通住宅,暂无数据,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
2023-04-13,商品房,2017-05-09,普通住宅,满五年,非共有,"
                                有抵押 155万元 银行 金融公司垫资
                              ",已上传房本照片
2019-02-26,商品房,2018-04-01,普通住宅,满五年,非共有,"
                                有抵押 160万元 工商银行 客户偿还
                              ",已上传房本照片
2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 120万元 客户偿还
                              ",未上传房本照片
2023-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 80万元 金融公司垫资
                              ",未上传房本照片
2021-06-06,商品房,2017-05-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-01-08,商品房,2017-06-23,普通住宅,满五年,非共有,"
                                有抵押 240万元 中国建设银行 客户偿还
                              ",已上传房本照片
2020-04-09,商品房,2016-08-24,普通住宅,满五年,共有,"
                                有抵押 100万元 中国银行 客户偿还
                              ",已上传房本照片
2022-09-18,商品房,2005-11-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 80万元 客户偿还
                              ",未上传房本照片
2022-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-08-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 80万元 客户偿还
                              ",未上传房本照片
2022-04-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2022-10-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 中国工商银行 客户偿还
                              ",未上传房本照片
2023-01-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2020-09-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-07-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2022-03-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 364万元 金融公司垫资
                              ",未上传房本照片
2023-02-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元 深圳发展银行股份有限公司深圳分行 客户偿还
                              ",未上传房本照片
2023-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2021-05-18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-08-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 750万元 银行 金融公司垫资
                              ",未上传房本照片
2023-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 业主自己赎楼
                              ",未上传房本照片
2022-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-03-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 380万元 农业银行 金融公司垫资
                              ",未上传房本照片
2023-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-01-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2021-11-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-01-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 380万元 交通银行 客户偿还
                              ",未上传房本照片
2023-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元 建设银行 客户偿还
                              ",未上传房本照片
2023-03-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 工商银行
                              ",未上传房本照片
2023-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 700万元 工商银行 业主自还
                              ",未上传房本照片
2022-11-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 银行 客户偿还
                              ",未上传房本照片
2023-03-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 390万元 客户偿还
                              ",未上传房本照片
2023-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-02-12,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 210万元 210
                              ",未上传房本照片
2023-03-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-03-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-01-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 中国银行 客户偿还
                              ",未上传房本照片
2022-12-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-02-27,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-02-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
